Year,Reg,Group,Sex,DrAa0,DrAa1,DrAa5,DrAa10,DrAa15,DrAa20,DrAa25,DrAa30,DrAa35,DrAa40,DrAa45,DrAa50,DrAa55,DrAa60,DrAa65,DrAa70,DrAa75,DrAa80,DrAa85
2015,1161,U,F,7184,190,54,485,167,478,335,1518,2360,3196,3342,4443,7144,10355,16139,30166,49173,93198,183412
2015,1161,R,B,5114,454,342,221,707,1663,2554,4284,5087,5698,9188,9829,14288,20290,24710,38462,51325,85023,165175
2015,1161,R,M,7731,382,132,285,1049,2353,3746,6276,8430,8278,13797,14687,21709,33083,40019,65791,79546,118867,155700
2015,1161,R,F,2455,530,567,153,330,884,1096,2006,1567,3101,4542,4907,7301,9748,14394,25923,39966,73662,167233
2015,1166,T,B,7661,372,130,270,692,874,2064,4088,5586,7259,8271,11369,15420,22423,29248,41769,65898,104188,191326
2015,1166,T,M,8483,338,212,143,852,1213,2778,5770,8389,10792,12727,17274,24866,37321,48531,69156,100005,141546,219279
2015,1166,T,F,6767,409,44,405,518,492,1264,2261,2728,3853,4218,6326,8209,12333,17660,28959,53079,92755,185346
2015,1166,U,B,6825,419,60,306,582,649,1862,4081,5254,6920,7368,10540,14327,21022,27238,41916,64814,103359,192985
2015,1166,U,M,7071,407,58,198,619,1018,2481,5565,8146,10647,11398,16726,24613,36084,45993,71927,100039,140163,225616
2015,1166,U,F,6560,431,61,420,542,243,1206,2567,2461,3536,3931,5666,7156,11479,16479,28239,51752,92316,185592
2015,1166,R,B,10146,257,314,176,1052,1626,2586,4106,6538,8188,10446,13285,18058,26060,34639,41443,68085,105651,188253
2015,1166,R,M,12644,167,621,0,1607,1831,3477,6266,9018,11146,15592,18375,25379,40113,54665,63323,99938,143885,205774
2015,1166,R,F,7389,354,0,364,441,1377,1432,1326,3582,4826,4986,8054,11125,14777,21038,30606,55790,93539,184903
2015,1168,T,B,3663,321,271,371,577,1134,2022,3046,4385,5009,6747,9681,13820,20158,26889,41101,60761,100196,171970
2015,1168,T,M,3888,432,282,340,615,1484,3311,4740,7014,7847,10330,15438,22312,33713,43935,68211,92805,136993,179562
